emp_no,title,first_name,last_name,salary
10005,Senior Staff,Kyoichi,Maliniak,78228
10009,Senior Engineer,Sumant,Peac,60929
10047,Senior Engineer,Zvonko,Nyanchama,54982
10058,Senior Staff,Berhard,McFarlin,52787
10066,Senior Engineer,Kwee,Schusler,69736
10070,Technique Leader,Reuven,Garigliano,55999
10073,Engineer,Shir,McClurg,56473
10096,Engineer,Jayson,Mandell,61395
10100,Senior Staff,Hironobu,Haraldson,54398
10153,Assistant Engineer,Heekeun,Majewski,54246
10166,Engineer,Samphel,Siegrist,51586
10196,Staff,Marc,Hellwagner,86671
10228,Senior Staff,Karoline,Cesareni,79474
10239,Staff,Nikolaos,Llado,65146
10240,Engineer,Remko,Maccarone,73874
10248,Senior Staff,Frederique,Tempesti,58918
10249,Senior Engineer,Marie,Boreale,72192
10258,Senior Engineer,Basil,Ishibashi,66280
10262,Staff,Mahendra,Maraist,63005
10272,Staff,Yishai,Cannane,58070
10302,Senior Staff,Faiza,Baer,58239
10321,Staff,Guenter,Ravishankar,86819
10353,Senior Staff,Phule,Hammerschmidt,62656
10358,Technique Leader,Qunsheng,Tagansky,63243
10367,Senior Staff,Hyuckchul,Gini,63565
10372,Technique Leader,Anneli,Frijda,54505
10374,Staff,Willard,Rosin,69568
10387,Senior Staff,Parto,Wrigley,61374
10389,Technique Leader,Make,Peir,55548
10418,Staff,Candida,Porotnikoff,52224
10477,Senior Engineer,Guoxiang,Trogemann,55138
10486,Senior Engineer,Amstein,Kossowski,71692
10517,Senior Staff,Tiina,Speek,65330
10541,Staff,Godehard,Eiter,50741
10548,Senior Staff,Ramalingam,Gunderson,90631
10552,Senior Engineer,Kazuhito,Shiratori,80483
10596,Senior Staff,Sanjit,Coors,58689
10623,Senior Engineer,Aleksander,Danlos,60268
10629,Staff,Lalit,Francisci,87045
10671,Senior Staff,Parviz,Rebaine,74037
10676,Engineer,Valeri,Danley,58226
10696,Technique Leader,Unal,Fendler,68913
10718,Senior Engineer,Adib,Rullman,75473
10731,Senior Staff,Fumitaka,Peak,77892
10742,Technique Leader,Shim,Wiegley,67405
10747,Senior Engineer,Falguni,Khalid,51538
10749,Senior Engineer,King,Brendel,60829
10751,Engineer,Jordanka,Ushiama,50052
10764,Senior Engineer,Yunming,Beetstra,70720
10768,Senior Engineer,Ishfaq,Candan,65717
10778,Senior Staff,Selwyn,Merey,64996
10801,Engineer,Uinam,Zschoche,67302
10813,Senior Staff,Shalesh,Shumilov,53246
10826,Senior Engineer,Arnd,Anandan,59506
10827,Staff,Willard,Danley,58322
10836,Senior Staff,Jianhua,Leivant,65502
10849,Engineer,Makato,Mayerwieser,66065
10876,Staff,Vincent,Papastamatiou,61389
10878,Staff,Lakshmi,Deville,72102
10887,Senior Engineer,Lunjin,DeMori,69570
10906,Staff,Munehiro,Carrere,66204
10909,Senior Engineer,Georgi,Atchley,80935
10913,Staff,Narain,Thummel,62428
10918,Staff,Susumu,Reghbati,59521
10921,Senior Engineer,Mara,Bahi,72601
10924,Senior Staff,Hironoby,Atchley,84783
10930,Senior Engineer,Arch,Minakawa,53785
10940,Engineer,Aleksander,Fioravanti,74987
10971,Technique Leader,Isamu,Vadhan,52453
10974,Senior Engineer,Muneo,Papsdorf,56005
10988,Senior Engineer,Chinya,Deyuan,54174
